FID,Name,Address,City,Zipcode,geom,,,,,FID_Schools,ES_Home,
Libraries.fid-e93e948_1508c03aa40_231d,East Columbia,6600 CRADLEROCK WAY,Columbia,21045,POINT (1355747.995148703 555007.0388335763),,,,,,,
Libraries.fid-e93e948_1508c03aa40_231e,Howard County Central,10375 LITTLE PATUXENT PKWY,Columbia,21044,POINT (1352482.742419602 562493.6777206546),,,,,,,
Libraries.fid-e93e948_1508c03aa40_2319,Elkridge Branch,6544 WASHINGTON BLVD,Elkridge,21075,POINT (1387055.7311615718 558998.6837177036),,,,,,,
Libraries.fid-e93e948_1508c03aa40_2318,HC HISTORICAL SOCIETY,3725 PARK AVE,Ellicott City,21043,POINT (1369461.6468812667 583291.8479450485),,,,,,,
Libraries.fid-e93e948_1508c03aa40_231b,Miller Branch,9421 FREDERICK RD,Ellicott City,21042,POINT (1358095.7461026195 584929.8885943966),,,,,,,
Libraries.fid-e93e948_1508c03aa40_231c,Savage,9525 DURNESS LN,Laurel,20723,POINT (1358731.9977323646 533992.2972172729),,,,,,,
Libraries.fid-e93e948_1508c03aa40_231a,Glenwood,2350 RT 97,Woodbine,21797,POINT (1305960.8661250877 597202.4625786328),,,,,,,
,,,,,,,,,,,,
Elementary_School_Districts.1, ,6700 SENECA DR,Columbia,21046,"POLYGON ((1354368.0900000008 555388.6800000448, 1354374.8100000008 555508.9650000519, 1354366.2900000017 555629.9400000481, 1354385.6399999985 555775.0800000482, 1354414.679999999 556287.8850000432, 1354463.0399999984 556626.5400000472, 1354501.7399999986 556897.4550000528, 1354492.0799999991 557207.0850000451, 1354418.4299999997 557542.9800000408, 1354353.7499999993 557697.495000053, 1354262.4300000002 557855.835000052, 1354151.8200000015 557980.8000000478, 1353995.5199999996 558111.6150000482, 1353657.2099999993 558327.6000000447, 1353312.4499999986 558537.4650000473, 1353148.5600000017 558637.2450000576, 1352509.380000001 559035.2700000461, 1352142.3599999992 559267.9350000527, 1352001.5999999987 559002.1950000457, 1351741.1399999992 558548.8650000446, 1351664.7599999988 558431.2050000419, 1351416.57 558028.8000000438, 1350973.1700000016 557332.5450000463, 1350792.0300000005 557039.8800000459, 1350614.7000000011 556752.0000000435, 1350370.8900000008 556356.2250000421, 1350152.25 556018.485000048, 1349919.8100000017 555653.8650000478, 1349908.7699999996 555636.5550000474, 1349888.8499999987 555605.2500000492, 1349827.409999999 555505.1550000483, 1349639.5200000012 555183.8100000496, 1349429.0999999994 554783.7300000532, 1349386.0500000014 554701.7850000528, 1349119.1400000008 554139.8700000445, 1348494.3299999998 552927.0750000443, 1348359.0000000002 552663.4200000397, 1348109.460000001 552177.2700000533, 1347907.5300000017 551745.0000000484, 1347794.2500000002 551554.4850000427, 1347794.2500000014 551554.1850000401, 1347609.5999999987 551181.915000057, 1347421.7100000007 550809.945000053, 1347071.970000001 550283.7300000497, 1347155.0999999982 550051.6500000419, 1347387.7500000012 550087.6500000447, 1347587.6400000015 550248.9000000488, 1347722.8500000015 550357.7850000445, 1347767.6399999994 550389.9750000485, 1347843.4200000013 550442.6550000428, 1347925.680000001 550504.4100000464, 1348006.7400000005 550546.2600000445, 1347996.7800000007 550503.2250000471, 1347974.5500000012 550497.3750000473, 1347973.0799999991 550496.7900000486, 1347971.3400000005 550496.20500005, 1347956.4000000015 550491.2400000467, 1347940.2900000005 550483.9200000516, 1347925.0799999991 550474.8450000467, 1347913.3799999992 550466.3550000498, 1347484.9200000004 549849.1350000477, 1347481.41 549844.1550000423, 1347470.8799999992 549829.8150000455, 1347353.5200000014 549667.6800000449, 1347080.459999999 549291.3150000529, 1347328.0499999993 549100.5000000492, 1347312.8399999999 548948.0100000502, 1347312.2400000019 548943.0450000468, 1347058.5000000012 548881.2900000478, 1346922.1200000003 548809.2900000514, 1346710.83 548808.1200000496, 1346676.3000000012 548750.46000005, 1346675.1299999997 548748.705000045, 1346674.2300000004 548747.2500000471, 1346520.3000000005 548490.0000000463, 1346591.4000000015 548012.0700000443, 1346954.910000002 548011.7850000483, 1347012.2699999989 547949.1600000502, 1346890.2299999986 547687.5150000473, 1346890.2300000007 547687.5000000453, 1346534.3699999994 547472.9850000485, 1346339.8499999985 546800.8500000486, 1346330.9400000002 546797.8050000444, 1346307.810000001 546698.3100000487, 1346262.1800000002 546500.7600000486, 1346205.3900000001 546412.9650000482, 1346307.540000001 546262.5300000475, 1346486.6399999992 545999.7150000521, 1346768.1900000016 545586.4800000441, 1346843.9700000014 545475.2700000466, 1347005.2499999998 545238.495000048, 1347059.0399999986 545249.250000048, 1347202.6499999985 545339.0250000508, 1347507.8700000003 545590.3650000483, 1347687.4200000006 545805.8100000522, 1347974.6700000016 546218.730000051, 1348423.4999999998 546434.1750000501, 1348926.1800000018 546505.9950000506, 1349267.3099999998 546559.8450000465, 1349554.560000001 546721.4250000479, 1349895.6600000001 546883.0050000538, 1350147.0299999989 547295.9400000452, 1350460.4700000014 548062.1550000474, 1350931.6199999992 547894.7100000443, 1350968.7899999993 547880.6700000407, 1351021.6199999996 547859.9250000445, 1351024.6799999995 547858.725000048, 1351070.6399999983 547837.6500000454, 1351116.870000001 547813.6500000496, 1351157.8500000006 547791.7050000523, 1351195.890000001 547768.8750000492, 1351210.8299999991 547758.9150000571, 1351237.7399999986 547740.7800000447, 1351271.700000001 547715.8950000431, 1351316.760000002 547676.6850000466, 1351351.8900000015 547642.7400000469, 1351405.7400000002 547591.8150000486, 1351454.9099999997 547540.8900000455, 1351506.7199999986 547487.9100000442, 1351605.6300000015 547389.8700000417, 1351621.7099999986 547373.7750000443, 1351670.879999999 547324.9050000397, 1351723.8600000008 547276.9050000482, 1351788.8399999999 547224.810000048, 1351833.8999999985 547191.7350000475, 1351997.7899999996 547091.6400000466, 1352079.7500000005 547044.8250000451, 1352146.7700000012 547007.655000045, 1352158.7699999984 547002.6750000489, 1352218.7700000005 546977.8050000494, 1352293.6800000004 546954.6750000482, 1352335.8299999994 546946.785000052, 1352381.7599999984 546943.8450000476, 1352432.6999999993 546940.9200000453, 1352501.760000001 546936.8250000458, 1352527.7699999993 546932.6850000496, 1352571.720000001 546925.7100000445, 1352638.7400000002 546910.7850000397, 1352707.8000000014 546888.8250000451, 1352785.649999999 546857.8050000522, 1352851.7999999998 546824.7450000445, 1352923.8000000012 546787.8600000496, 1352943.6900000009 546776.745000053, 1353006.9000000018 546742.7850000513, 1353097.619999999 546694.8000000478, 1353276.7500000014 546614.8950000531, 1353344.9400000013 546585.6300000468, 1353348.7199999983 546587.6850000498, 1353431.850000001 546710.8950000453, 1353590.7600000005 546955.8450000455, 1353656.4000000008 547061.3400000471, 1353778.650000001 547257.8850000533, 1353880.8000000005 547419.4350000459, 1353967.7100000018 547557.8550000468, 1354018.6499999985 547637.7600000509, 1354105.8600000006 547772.670000046, 1354235.7899999989 547987.7850000527, 1354359.8999999997 548196.7500000428, 1354474.6199999987 548390.7900000467, 1354530.8100000017 548486.7750000554, 1354570.8899999997 548555.550000047, 1354630.5899999996 548674.3800000468, 1354711.6799999995 548825.6850000467, 1354783.6800000006 548963.8200000469, 1354897.799999999 549205.8450000449, 1354962.7800000014 549354.8250000523, 1355025.6899999985 549499.6800000471, 1355042.6699999995 549549.7350000462, 1355107.6500000013 549721.9650000475, 1355236.1400000013 550062.4800000472, 1355381.2799999998 550386.4650000477, 1355430.4499999993 550491.5250000473, 1355473.1700000004 550629.0750000488, 1355492.7900000005 550858.5300000478, 1355528.7899999993 551159.9700000456, 1355519.1300000004 551386.2000000443, 1355505.3900000013 551447.9550000433, 1355442.7500000002 551712.8100000398, 1355280.9000000015 552095.6100000396, 1355148.3299999984 552323.5950000478, 1354860.6299999985 552777.225000047, 1354695.0000000007 553069.305000044, 1354687.1699999988 553090.8150000441, 1354686.7799999996 553091.8500000512, 1354551.0000000012 553444.2150000475, 1354468.17 553740.6750000448, 1354447.1399999983 553880.8800000453, 1354404.3599999982 554166.2100000485, 1354363.68 554673.6900000435, 1354368.0900000008 555388.6800000448))",,,,,Elementary_School_Districts.1,Atholton ES, 
Elementary_School_Districts.2, ,8125 OLD STOCKBRIDGE DR,Ellicott City,21043,"POLYGON ((1368758.760000001 564847.4700000475, 1368352.8599999996 564888.6450000444, 1368117.5400000005 564612.1500000514, 1367923.3800000015 564365.0700000473, 1367741.0100000016 564153.2850000457, 1367690.759999999 564119.7600000458, 1367785.5600000017 563995.9200000504, 1367837.3700000015 563926.8600000445, 1367962.6199999987 563762.9550000507, 1368131.4900000019 563537.9100000467, 1368271.3799999997 563354.9850000441, 1368288.3599999992 563333.0400000467, 1368442.59 563127.8850000462, 1368577.499999999 562954.9200000498, 1368675.5399999989 562827.9000000461, 1368770.37 562707.915000051, 1368889.5 562558.0650000443, 1368967.350000001 562455.9300000516, 1368991.0499999998 562426.065000054, 1369012.110000001 562399.1400000467, 1369487.3999999997 561795.375000045, 1369631.3999999987 561613.9350000395, 1369710.4200000016 561512.9550000468, 1369766.6100000008 561436.8750000527, 1369810.5000000016 561373.065000046, 1369856.46 561302.8350000473, 1369871.0700000012 561277.9500000458, 1369887.4799999997 561249.855000046, 1369916.4600000018 561196.890000042, 1369955.6699999988 561114.6450000436, 1369949.52 561101.7600000444, 1369930.499999999 561050.5500000501, 1369904.4600000007 560963.0400000502, 1369895.3699999999 560925.0000000463, 1369886.5800000012 560882.8500000456, 1369869.6299999992 560803.830000052, 1369851.4800000018 560728.9200000459, 1369839.4800000011 560682.9600000463, 1369824.5400000007 560644.0350000459, 1369820.460000001 560637.0150000487, 1369800.5400000014 560598.9750000448, 1369760.4600000004 560537.8050000537, 1369704.570000001 560457.0300000597, 1369701.3299999994 560407.5750000472, 1369714.8 560391.1800000519, 1369776.5400000014 560314.5000000481, 1369804.0499999996 560253.3300000477, 1369804.6500000001 560252.4600000485, 1369805.5199999998 560250.4050000547, 1369831.860000002 560191.5750000533, 1369835.1000000006 560184.5550000469, 1369810.799999999 560148.2700000481, 1369737.029999999 560037.9300000498, 1369644.569999999 559899.5100000444, 1369618.8000000005 559860.8700000443, 1369588.6499999985 559815.5100000408, 1369588.3800000006 559814.9250000467, 1369587.7799999996 559814.3400000528, 1369586.6100000003 559812.5850000477, 1369532.7599999986 559732.3950000523, 1369477.1700000002 559741.1700000545, 1369590.1199999994 559609.4700000483, 1369620.2700000003 559574.3550000513, 1369650.4199999985 559539.2400000497, 1369682.9100000006 559501.1850000484, 1369694.3100000005 559437.0900000456, 1369703.670000001 559384.9950000502, 1369713.9300000018 559328.2200000519, 1369722.4199999995 559281.105000057, 1369722.6900000009 559279.3500000472, 1369722.99 559277.5950000514, 1369735.5900000003 559207.0650000456, 1369735.8599999985 559205.3100000498, 1369736.1599999995 559203.8400000499, 1369752.2699999984 559113.7050000458, 1369752.5400000014 559112.2350000506, 1369752.8399999992 559110.4800000455, 1369759.29 559074.1950000467, 1369702.2300000007 559052.235000052, 1369700.7599999995 559051.6500000441, 1369700.1599999988 559050.1950000464, 1369684.95 559003.9500000462, 1369684.3500000006 559002.1950000502, 1369683.7800000014 559000.7250000458, 1369667.9699999993 558952.7400000565, 1369667.4000000018 558950.9850000467, 1369666.799999999 558949.5150000516, 1369650.9900000005 558901.5150000508, 1369650.7200000002 558899.7600000503, 1369650.1200000006 558898.3050000432, 1369634.3100000003 558850.3050000424, 1369620.2700000016 558807.5700000525, 1369619.9699999993 558807.2850000472, 1369619.2500000016 558804.840000048, 1369619.0999999999 558804.3600000449, 1369618.800000001 558803.4750000483, 1369615.29 558792.360000047, 1369614.719999999 558790.8900000472, 1369614.120000002 558789.7200000407, 1369614.1200000003 558789.135000056, 1369609.1400000008 558774.7950000499, 1369608.870000002 558774.2100000466, 1369600.9500000018 558751.0950000521, 1369600.38 558749.3400000518, 1369599.7800000007 558747.5850000512, 1369580.189999999 558690.5100000458, 1369579.590000001 558688.7550000406, 1369579.8899999994 558687.2850000454, 1369617.6299999994 558499.9800000519, 1369618.2300000002 558497.9400000463, 1369618.8000000005 558497.9400000463, 1369621.1400000018 558498.8100000548, 1369744.0799999984 558547.6950000473, 1369745.250000001 558548.2800000553, 1369747.2900000005 558548.8650000492, 1369787.3700000017 558564.9600000466, 1369788.8400000017 558565.5450000499, 1369790.8800000004 558566.1300000531, 1369841.5199999996 558586.3200000499, 1369860.8399999999 558459.6000000443, 1369862.8800000001 558446.7150000453, 1369863.18 558444.9600000448, 1369864.6500000013 558445.5450000528, 1369878.9900000007 558451.395000048, 1369907.9700000007 558462.8100000473, 1369909.410000002 558463.3950000458, 1369911.1800000002 558463.9800000491, 1369952.4299999992 558480.3750000445, 1369994.88 558497.3550000476, 1370054.2799999993 558521.0550000453, 1370118.39 558546.5250000362, 1370131.2599999998 558446.130000042, 1370141.52 558363.6000000476, 1370143.5600000017 558349.5600000486, 1370143.5599999998 558347.8050000528, 1370145.299999999 558348.6750000474, 1370158.4699999986 558353.6550000529, 1370402.8500000008 558449.3550000469, 1370438.8499999996 558463.3950000458, 1370441.1900000004 558447.015000048, 1370448.2099999997 558394.0350000511, 1370456.9999999984 558330.8250000497, 1370440.3200000012 558324.9750000497, 1370419.2300000002 558317.3550000427, 1370313.8700000008 558279.315000048, 1370159.3699999999 558223.710000047, 1370166.6600000001 558167.2200000446, 1370174.5799999998 558105.180000045, 1370174.5800000017 558104.5950000464, 1370174.8799999992 558103.4250000399, 1370175.1499999985 558101.6700000442, 1370181.299999999 558068.8950000508, 1370181.5999999994 558067.4250000509, 1370181.9000000004 558065.6700000413, 1370188.05 558033.4800000465, 1370193.000000001 558007.1400000518, 1370198.2799999984 557978.1600000414, 1370208.5399999984 557923.7250000515, 1370213.79 557895.045000053, 1370218.4699999997 557870.4600000448, 1370228.7300000011 557816.910000056, 1370233.4099999995 557791.7400000446, 1370238.9600000004 557762.175000045, 1370245.6800000018 557725.8900000461, 1370248.9199999992 557709.2100000455, 1370250.089999999 557703.0600000476, 1370251.829999999 557693.1150000527, 1370256.8099999991 557666.7750000533, 1370260.0200000016 557650.3800000534, 1370262.960000002 557633.9850000395, 1370279.9399999985 557543.8500000447, 1370283.1500000018 557527.4550000494, 1370286.0899999985 557511.0750000468, 1370299.5300000012 557440.5450000456, 1370402.850000001 557465.7150000477, 1370403.7199999993 557465.7150000477, 1370435.6399999992 557473.6050000486, 1370509.6800000004 557491.4700000439, 1370526.0599999998 557489.4150000454, 1370542.4400000009 557483.5650000455, 1370557.6799999997 557478.3000000534, 1370574.3600000008 557472.1500000462, 1370627.6099999996 557433.8100000444, 1370696.9699999988 557471.265000045, 1370709.9600000007 557617.9500000501, 1371040.289999999 557542.6800000521, 1371097.3499999992 557703.6450000509, 1371100.2600000016 557711.8350000544, 1371103.7700000019 557722.0800000519, 1371052.8600000015 557739.9300000403, 1371144.7500000016 557741.6850000455, 1371170.7899999993 557742.2700000487, 1371567.9600000014 557794.3650000489, 1371609.5099999988 557794.0800000529, 1371974.4600000004 557484.4350000448, 1371993.4800000014 557468.6400000454, 1372284.989999999 557397.2250000476, 1372092.9899999998 557917.8750000516, 1372087.439999999 557932.8000000423, 1372086.8399999994 557934.2700000515, 1372094.4599999988 557937.1950000445, 1372096.1399999983 557937.8100000517, 1372505.34 558088.7850000451, 1372562.4300000006 558109.8600000477, 1372864.4399999988 558221.3700000526, 1372980.0599999987 558252.9750000486, 1373035.080000002 558268.2000000468, 1373085.5699999994 558281.9700000517, 1373086.5899999996 558282.2400000456, 1373334.180000001 558047.5200000455, 1373386.8599999985 557997.7800000417, 1373487.2400000005 557786.7600000578, 1373677.4699999997 557526.8700000461, 1373713.170000001 557478.0000000461, 1373725.169999999 557461.6050000415, 1373731.0200000005 557445.225000053, 1373790.1500000015 557273.1300000416, 1373795.4300000006 557258.2050000507, 1373795.6999999988 557256.750000053, 1373797.47 557257.6200000521, 1373812.109999999 557264.3550000393, 1374337.140000001 557511.0750000468, 1374319.5900000012 557344.5450000487, 1374319.2900000005 557343.9600000501, 1374317.8200000015 557329.03500005, 1374316.080000001 557311.7700000461, 1374315.7799999989 557311.1850000429, 1374303.1799999995 557192.6550000455, 1374280.6500000001 556982.520000049, 1374264.839999999 556833.8550000461, 1374558.6899999988 556919.0100000448, 1374568.0500000005 556887.1200000574, 1374834.3600000013 556968.1800000474, 1375061.0399999984 556769.9550000507, 1374975.1499999992 556634.8350000508, 1374895.2600000014 556418.2650000417, 1375015.5299999982 556420.60500005, 1375082.5500000003 556600.5900000484, 1375182.6300000001 556528.0200000507, 1375257.870000002 556595.0400000417, 1375354.14 556511.6250000461, 1375434.63 556424.7000000449, 1375386.6300000001 556393.9800000454, 1375411.2000000004 556365.0000000397, 1375431.9899999998 556080.240000047, 1375431.99 556079.3550000457, 1375454.2499999986 555707.0850000533, 1375454.2500000007 555705.9150000468, 1375455.120000001 555693.6300000483, 1375456.289999999 555674.3100000507, 1375456.2899999993 555673.1400000441, 1375463.6099999996 555548.4600000443, 1375474.1399999987 555370.2300000511, 1375484.9700000018 555192.0000000485, 1375653.8400000003 555225.0750000445, 1375851.6600000001 555285.0750000523, 1376244.6300000018 555405.3000000514, 1376398.8000000005 555624.3300000522, 1376750.3699999987 555405.1350000527, 1376489.1000000003 555081.3750000449, 1375983.9599999997 554463.8550000449, 1375403.0099999986 553683.0300000518, 1374925.920000001 553091.0700000452, 1374595.8599999987 552681.5250000481, 1374890.8500000006 552497.4450000549, 1375233.8699999992 552225.2700000448, 1375273.0800000005 552194.2500000519, 1375462.7100000018 552043.8150000466, 1375532.0700000005 551111.1000000504, 1375415.6100000003 550633.1700000484, 1375415.610000002 550632.3000000445, 1375282.7400000019 550423.3350000405, 1375271.610000001 550406.0700000506, 1375265.1599999995 550395.825000044, 1375295.91 550254.1800000474, 1375476.7799999998 550082.3850000481, 1375498.4400000004 550034.385000052, 1375497.2700000012 550033.8000000442, 1375497.5399999986 550032.9150000475, 1375606.7099999993 549791.7600000488, 1375730.7899999982 549726.2100000529, 1375732.6500000006 549711.9300000453, 1375838.6099999996 549727.8300000448, 1376303.9399999992 550092.5550000402, 1376503.6199999999 550248.8400000501, 1376882.4899999995 550545.3300000466, 1377511.3500000003 551111.295000053, 1378203.0899999985 551715.0000000468, 1378794.2099999986 552243.2250000518, 1379366.4900000014 552707.5350000456, 1379336.6699999988 552737.3400000492, 1379682.6600000015 553043.8500000458, 1379682.9299999985 553043.8500000458, 1379722.7399999998 553037.7000000572, 1380627.9600000002 553815.600000048, 1381081.2900000005 554215.965000045, 1381370.7300000014 554394.4950000409, 1381303.4100000015 554449.5150000528, 1381303.4100000013 554449.8000000487, 1381100.61 554649.990000055, 1380729.2100000004 555006.7500000442, 1380554.4900000005 555193.1700000503, 1380073.349999999 555706.2150000447, 1379475.1499999994 556381.3950000443, 1378795.2900000014 557104.8600000452, 1378530.7200000004 557410.1100000466, 1378489.3800000013 557455.4400000509, 1378491.5100000002 557457.540000046, 1377743.1600000006 558274.0500000466, 1377543.6899999995 558488.8650000413, 1377036.0900000005 559035.5550000515, 1376943.0299999996 559135.3650000518, 1376247.9300000006 559936.3800000465, 1375556.969999999 560748.8100000449, 1375388.3999999992 560913.8700000523, 1375242.9299999997 561031.5300000411, 1375042.7400000002 561145.3800000496, 1374858.3600000013 561243.7050000435, 1374599.07 561325.9500000465, 1374333.8100000005 561365.2950000423, 1374202.5000000014 561384.7800000525, 1373912.4900000007 561374.8200000512, 1373896.3799999992 561421.0650000467, 1373852.49 561525.8400000458, 1373824.3800000008 561625.9350000467, 1373757.3599999992 561788.0700000472, 1373725.469999999 561911.8650000459, 1373671.0199999986 562072.5300000558, 1373669.580000001 562074.8700000456, 1373652.5999999996 562127.8500000471, 1373637.3900000008 562172.0400000443, 1373629.47 562203.0600000464, 1373623.3200000003 562229.1150000497, 1373620.4099999988 562253.9850000447, 1373617.4700000011 562280.910000052, 1373615.4299999997 562313.100000056, 1373615.4300000006 562350.85500005, 1373616.6000000017 562395.0450000518, 1373620.1100000008 562463.5350000473, 1373619.5099999988 562508.8950000464, 1373618.339999999 562587.030000048, 1373616.6000000006 562740.1050000457, 1373620.4099999983 563007.8850000491, 1373619.8099999998 563007.8850000399, 1373617.470000001 563091.8850000481, 1373605.469999999 563175.0000000458, 1373585.5799999991 563256.0750000516, 1373556.3000000017 563335.0800000525, 1373548.71 563350.02000005, 1373543.1300000013 563361.1350000466, 1373531.7299999993 563385.4200000523, 1373528.1899999988 563392.080000048, 1373508.9000000015 563428.4400000476, 1373378.3700000008 563609.6100000452, 1373265.1199999992 563766.7650000543, 1373277.6900000016 563859.8400000441, 1373181.4199999992 563882.3700000492, 1373131.9499999995 563894.0700000444, 1372935.870000001 563912.2200000449, 1372935.7200000002 563912.2350000469, 1372897.079999999 563919.8250000454, 1372772.7000000004 563922.4650000423, 1372679.4899999993 564120.6000000504, 1372587.9 564079.3350000415, 1372267.11 564759.195000053, 1371994.8300000008 564669.2850000417, 1371984.9900000002 564666.1200000447, 1371888.7200000011 564633.3450000468, 1371888.1200000006 564633.0450000442, 1371874.9500000011 564629.2500000473, 1371874.0800000005 564628.9500000492, 1371873.480000002 564628.6650000487, 1371716.9100000015 564582.1350000477, 1371704.3399999987 564578.3250000488, 1371667.7400000016 564567.1950000456, 1371652.5299999986 564562.5150000475, 1371651.9299999992 564562.2300000469, 1371650.760000001 564561.9300000443, 1371649.3200000005 564561.6450000529, 1371634.9799999986 564557.2500000462, 1371609.21 564549.3450000525, 1371523.7700000019 564523.590000047, 1371438.869999999 564498.1350000396, 1371437.1299999987 564497.5500000456, 1371435.6600000004 564496.9650000517, 1371380.0699999994 564480.2850000464, 1371363.959999999 564475.3050000457, 1371363.6600000013 564475.3050000457, 1371350.2200000014 564471.2100000462, 1371349.049999999 564470.9100000482, 1371347.2799999993 564470.325000045, 1371346.9799999986 564470.325000045, 1371332.9399999985 564465.9450000495, 1371331.1700000002 564465.6450000515, 1371329.7300000002 564465.0600000483, 1371218.2200000007 564431.4000000492, 1371163.1999999993 564427.6050000476, 1370976.780000001 564371.4150000432, 1370984.6700000006 564354.7350000427, 1371021.239999999 564278.3400000442, 1371004.5599999984 564264.3000000452, 1370834.5200000007 564123.8100000486, 1370410.1700000002 563772.6150000449, 1370144.1299999985 563586.7800000513, 1370334.0900000015 564295.6050000526, 1370396.4900000014 564633.180000048, 1370264.820000002 564665.1000000488, 1369417.6800000009 564759.2250000477, 1368823.5000000002 564835.7100000443, 1368746.999999999 564765.1050000471, 1368758.760000001 564847.4700000475))",,,,,Elementary_School_Districts.2,Bellows Spring ES, 
